Sl. No.,State/UT,2019-20,2020-21,2021-22,2022-23,2023-24
1,Andhra Pradesh,4.7,4.1,4.2,4.1,4.1
2,Arunachal Pradesh,6.7,5.7,7.7,4.8,6.1
3,Assam,7.9,4.1,3.8,1.7,3.9
4,Bihar,5.3,4.7,6,3.9,3
5,Chhattisgarh,3.3,2.5,2.5,2.5,2.5
6,Delhi,8.7,6.3,5.3,1.9,2.1
7,Goa,8.1,10.5,12,9.7,8.5
8,Gujarat,2,2.2,2,1.7,1.1
9,Haryana,6.5,6.3,9,6.1,3.4
10,Himachal Pradesh,3.7,3.3,4,4.4,5.4
11,Jharkhand,4.2,3.1,2,1.7,1.3
12,Karnataka,4.2,2.7,3.2,2.4,2.7
13,Kerala,10,10.1,9.6,7,7.2
14,Madhya Pradesh,3,1.9,2.1,1.6,0.9
15,Maharashtra,3.2,3.7,3.5,3.1,3.3
16,Manipur,9.7,5.6,9,4.7,6.1
17,Meghalaya,2.7,1.7,2.6,6,6.2
18,Mizoram,5.7,3.5,5.4,2.2,2.3
19,Nagaland,25.8,19.3,9.1,4.3,7.1
20,Odisha,6.3,5.4,6,3.9,3.1
21,Punjab,7.4,6.2,6.4,6.1,5.5
22,Rajasthan,4.5,4.8,4.7,4.4,4.2
23,Sikkim,2.2,1.1,1.6,2.2,2.3
24,Tamil Nadu,5.3,5.2,4.8,4.3,3.5
25,Telangana,7,4.9,4.2,4.4,4.8
26,Tripura,3.2,3.2,3.3,1.4,1.7
27,Uttarakhand,7.1,6.9,7.8,4.5,4.3
28,Uttar Pradesh,4.5,4.2,2.9,2.4,3
29,West Bengal,4.6,3.5,3.5,2.2,2.6
30,Andaman and Nicobar Islands,12.6,9.1,7.8,9.7,11.8
31,Chandigarh,6.3,7.5,6.3,4,7.1
32,Dadra and Nagar Haveli,3,4.2,5.2,2.5,2.3
33,Daman and Diu,2.9,NA,NA,NA,NA
34,Jammu and Kashmir,6.7,5.9,5.2,4.4,6.1
35,Ladakh,0.1,2.9,3.3,6.1,5.1
36,Lakshadweep,13.7,13.4,17.2,11.1,11.9
37,Puducherry,7.6,6.7,5.8,5.6,4.6
All India,All India,4.8,4.2,4.1,3.2,3.2
