(Base 2012=100)
Year,Month,State,Group,Sub Group,Description,Rural,Urban,Combined,Status,
2022,January,Andaman and Nicobar Islands,,,General Index (All Groups),8.32,6.26,7.36,F,
2022,January,Andhra Pradesh,,,General Index (All Groups),4.69,5.78,5.12,F,
2022,January,Arunachal Pradesh,,,General Index (All Groups),6.35,,,F,
2022,January,Assam,,,General Index (All Groups),5.81,3.86,5.43,F,
2022,January,Bihar,,,General Index (All Groups),5.60,6.21,5.71,F,
2022,January,Chandigarh,,,General Index (All Groups),7.46,5.90,6.02,F,
2022,January,Chhattisgarh,,,General Index (All Groups),5.59,5.86,5.68,F,
2022,January,Dadra and Nagar Haveli,,,General Index (All Groups),9.68,7.88,8.44,F,
2022,January,Daman and Diu,,,General Index (All Groups),6.53,5.79,6.24,F,
2022,January,Delhi,,,General Index (All Groups),4.72,6.21,6.14,F,
2022,January,Goa,,,General Index (All Groups),5.35,3.18,4.06,F,
2022,January,Gujarat,,,General Index (All Groups),6.57,5.49,5.95,F,
2022,January,Haryana,,,General Index (All Groups),8.23,6.03,7.23,F,
2022,January,Himachal Pradesh,,,General Index (All Groups),6.89,6.16,6.72,F,
2022,January,Jammu and Kashmir,,,General Index (All Groups),6.97,6.28,6.74,F,
2022,January,Jharkhand,,,General Index (All Groups),6.04,6.51,6.19,F,
2022,January,Karnataka,,,General Index (All Groups),5.45,6.81,6.20,F,
2022,January,Kerala,,,General Index (All Groups),3.84,5.36,4.36,F,
2022,January,Lakshadweep,,,General Index (All Groups),2.08,-0.06,1.03,F,
2022,January,Madhya Pradesh,,,General Index (All Groups),6.99,5.77,6.46,F,
2022,January,Maharashtra,,,General Index (All Groups),6.62,6.42,6.47,F,
2022,January,Manipur,,,General Index (All Groups),1.77,-1.15,0.84,F,
2022,January,Meghalaya,,,General Index (All Groups),2.19,4.97,3.03,F,
2022,January,Mizoram,,,General Index (All Groups),6.30,6.42,6.39,F,
2022,January,Nagaland,,,General Index (All Groups),4.72,3.41,4.13,F,
2022,January,Odisha,,,General Index (All Groups),4.50,4.79,4.54,F,
2022,January,Puducherry,,,General Index (All Groups),4.91,4.72,4.77,F,
2022,January,Punjab,,,General Index (All Groups),4.47,3.52,4.09,F,
2022,January,Rajasthan,,,General Index (All Groups),5.73,5.46,5.66,F,
2022,January,Sikkim,,,General Index (All Groups),8.12,6.68,7.68,F,
2022,January,Tamil Nadu,,,General Index (All Groups),5.69,5.43,5.56,F,
2022,January,Telangana,,,General Index (All Groups),6.75,6.75,6.72,F,
2022,January,Tripura,,,General Index (All Groups),4.06,4.21,4.13,F,
2022,January,Uttar Pradesh,,,General Index (All Groups),7.23,5.84,6.71,F,
2022,January,Uttarakhand,,,General Index (All Groups),5.71,7.62,6.38,F,
2022,January,West Bengal,,,General Index (All Groups),7.62,6.54,7.11,F,
2022,February,Andaman and Nicobar Islands,,,General Index (All Groups),6.86,6.07,6.49,F,
2022,February,Andhra Pradesh,,,General Index (All Groups),4.30,5.89,4.92,F,
